cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total,valor aluguel reduzido
Belo Horizonte,451,2,4,2,2,1,1,84,1565,1087,123,2859,1203.596570824561
Ribeirão Preto,203,2,1,4,6,1,0,2354,5333,720,76,8483,4167.030887915746
Niterói,320,3,4,1,19,0,0,171,3394,999,15,4579,2703.582338394421
Curitiba,344,2,3,4,10,0,1,2994,6800,207,103,10104,4769.541886952813
Vitória,459,3,1,2,11,0,0,3883,6629,1294,45,11851,5031.154548312997
Boa Vista,56,3,1,3,17,0,0,2969,1013,107,118,4207,720.3327013159062
Duque de Caxias,372,2,2,3,16,0,0,2642,6692,388,73,9795,5066.877807778309
Manaus,285,1,4,2,11,1,1,1990,6157,475,48,8670,4416.250764157152
Aracaju,313,1,2,1,19,0,1,4021,9224,468,36,13749,6825.190698464028
Betim,34,1,4,4,5,1,1,498,8078,1018,35,9629,5994.685408058146
Campinas,126,1,4,1,19,0,0,4619,9443,783,137,14982,6612.647296686953
Vila Velha,218,2,4,1,19,1,0,3039,6058,259,37,9393,4368.561032029197
Londrina,58,2,1,1,13,0,0,117,5760,91,128,6096,4559.298457578914
Belo Horizonte,320,1,1,4,9,0,1,2764,6892,329,72,10057,4895.920729370186
Barueri,88,1,1,3,9,1,1,4008,2044,1114,79,7245,1564.9645467404616
São José dos Campos,470,1,1,2,6,1,1,4899,959,708,31,6597,700.3419567957044
Feira de Santana,493,1,2,2,4,1,0,4253,629,841,89,5812,444.6424711484788
Maringá,297,2,4,1,13,0,0,775,4799,768,192,6534,3722.034258784409
São Paulo,211,1,2,4,12,1,0,4887,5651,1388,84,12010,4329.231131826601
João Pessoa,159,4,1,0,0,0,1,3937,9438,1797,28,15200,7185.439881513329
Rio de Janeiro,347,4,3,1,17,1,0,1670,9224,38,169,11101,6483.3452052738885
Belém,282,1,4,2,12,1,0,3146,1250,653,79,5128,952.2572084168543
Porto Alegre,293,1,3,2,3,0,0,340,9759,218,116,10433,7180.884515284464
Salvador,281,3,4,1,6,1,1,2044,1576,950,60,4630,1220.2183430595135
Uberlândia,415,2,3,2,2,1,0,107,6089,581,141,6918,4549.072112837082
Santo André,246,4,4,1,5,1,0,316,7123,1905,144,9488,5603.280275861855
Natal,120,5,1,2,11,0,1,3679,2436,1026,89,7230,1915.1195019281508
Salvador,249,4,2,3,18,0,0,1635,3562,1664,182,7043,2792.0071934948955
Montes Claros,441,1,2,4,14,1,0,416,5412,1659,63,7550,3944.167223281843
Cuiabá,435,5,4,0,19,1,0,3394,2273,889,68,6624,1619.6906722395856
Maringá,177,4,3,3,19,0,1,1886,5720,1672,40,9318,4322.858534531206
Ribeirão Preto,337,2,3,4,3,0,0,4744,2126,705,134,7709,1536.74205412911
Boa Vista,325,5,2,2,17,0,1,3087,6597,613,39,10336,5137.566863029863
Feira de Santana,54,1,4,0,8,0,1,223,6100,1896,129,8348,4598.208794028623
Manaus,228,4,4,4,13,1,1,880,831,749,84,2544,593.6192465898516
Florianópolis,138,4,4,2,16,0,0,120,4385,331,118,4954,3502.993309904854
Betim,186,5,4,1,17,1,0,2089,1646,1437,112,5284,1238.4350158987245
Jundiaí,348,1,1,4,15,0,1,2081,7933,64,160,10238,5618.146100848899
Vila Velha,94,2,2,1,10,0,0,505,2064,257,114,2940,1588.0117447611335
Contagem,499,5,3,3,3,1,1,3191,6875,1032,170,11268,5049.854649935131
Fortaleza,455,4,2,2,15,0,0,1434,8000,880,99,10413,5661.163506322418
João Pessoa,73,5,3,4,11,1,0,3851,9691,825,125,14492,7214.938393711023
Feira de Santana,335,2,4,2,5,1,0,1883,6923,620,66,9492,5155.208671790806
Brasília,409,5,2,1,8,0,0,1266,7374,1469,77,10186,5224.426602800382
Belém,344,1,2,4,14,0,1,1747,9173,1090,37,12047,6792.954470816661
Contagem,462,4,3,1,11,1,1,1417,4314,7,28,5766,3447.3609659908484
Brasília,229,3,4,3,19,0,1,1143,8937,932,125,11137,6758.0713519596575
Boa Vista,222,1,3,4,15,1,1,7,6220,456,126,6809,4731.296663995742
Boa Vista,96,1,4,3,0,0,0,960,4996,1824,145,7925,3963.2298633732375
São Gonçalo,235,4,2,3,14,0,0,4392,8088,807,121,13408,5693.875902351258
Serra,93,5,4,0,2,0,0,2165,7720,1073,157,11115,5561.591643734683
Jundiaí,144,3,2,0,19,1,1,3830,3310,1193,81,8414,2502.344272815584
Salvador,465,4,1,4,12,1,0,1230,7882,700,169,9981,5909.984997546025
Feira de Santana,58,4,1,0,16,0,1,58,1225,1065,156,2504,871.3047245984865
Teresina,244,1,3,0,6,0,1,3934,5041,93,71,9139,3608.6587317518324
Aracaju,199,3,4,1,5,0,0,3781,3056,1605,168,8610,2427.2805441117307
Osasco,283,4,4,1,16,0,0,169,2474,818,98,3559,1755.1461966550507
Florianópolis,344,4,2,2,16,0,1,229,8878,1016,107,10230,6601.883137582623
São José dos Campos,401,2,2,2,3,1,1,2949,6219,762,190,10120,4580.927592629599
Vila Velha,344,3,2,1,16,1,1,75,2513,1625,71,4284,1770.5741676645546
Piracicaba,61,4,1,2,14,0,0,2518,4029,429,16,6992,2844.695614150851
Fortaleza,349,4,3,3,16,0,0,3382,5188,1892,32,10494,3995.0690426889723
São Paulo,379,3,1,4,8,0,0,651,6015,99,33,6798,4627.724125365463
Piracicaba,345,4,3,4,9,0,1,4922,4165,1050,21,10158,2964.3532717294274
Belém,422,4,4,3,8,1,1,2159,3655,1441,193,7448,2714.3183843679985
Jundiaí,178,1,2,3,12,0,1,3907,8456,995,49,13407,6506.017581374857
Maringá,122,1,2,0,14,1,0,1809,7600,429,128,9966,5999.994187910062
Salvador,251,4,4,0,9,1,0,135,7843,1605,158,9741,5654.294038511906
Natal,290,3,4,3,11,1,0,4828,7110,1047,71,13056,5509.605454396814
Santo André,448,1,3,3,13,0,0,4656,1129,306,88,6179,813.4624225498179
Belo Horizonte,262,5,3,0,2,1,1,968,7510,1660,94,10232,5563.712946428289
Barueri,391,4,3,2,2,0,1,1935,9364,128,120,11547,7354.801586233216
São Gonçalo,482,2,2,2,14,0,0,2398,7312,964,169,10843,5666.110827418667
Campinas,401,1,2,3,7,1,1,2356,1497,1347,39,5239,1104.038525621682
São Paulo,28,2,3,2,4,0,0,613,8369,343,145,9470,5863.180198778233
Rio de Janeiro,353,5,1,1,2,1,1,813,7879,1072,105,9869,6200.804064192693
Maringá,241,5,4,0,14,0,1,3084,8867,2,161,12114,6396.564901261538
Joinville,255,5,1,2,19,1,1,195,555,1117,184,2051,406.3179779136903
Belém,255,1,3,2,11,0,0,923,3246,1170,162,5501,2314.030754216471
Vitória,135,5,2,4,11,0,1,570,1969,1181,118,3838,1464.4617308234997
Belo Horizonte,354,5,4,2,7,1,0,246,3509,70,157,3982,2616.43769636608
Feira de Santana,365,3,4,3,18,1,0,2597,1896,1343,142,5978,1438.7129069710122
Vitória,68,5,4,2,12,1,1,2571,6769,1341,97,10778,5393.6395283933225
Manaus,46,3,4,4,9,1,0,3323,7125,46,21,10515,5241.208339136267
Guarulhos,301,2,1,3,10,0,0,2990,755,1771,30,5546,548.9515727503912
Brasília,298,4,2,1,0,0,1,4133,6025,1449,88,11695,4589.816963423598
Feira de Santana,226,3,1,1,7,1,1,4184,8738,1925,26,14873,6727.521722240101
Goiânia,370,2,1,0,5,0,1,1689,6704,694,160,9247,4931.206156845381
Contagem,97,1,3,3,9,0,1,198,760,782,48,1788,549.6746289786805
Aracaju,497,2,4,2,2,0,0,3869,1247,1394,192,6702,881.0379802513175
Natal,404,2,1,1,14,1,0,3236,7464,422,156,11278,5617.860678241301
Joinville,102,5,3,4,13,1,0,907,9033,776,45,10761,6408.658077636329
São José dos Campos,328,4,2,3,5,0,0,1910,6885,208,39,9042,4971.436310818351
Boa Vista,473,4,4,1,5,0,1,900,2018,1011,167,4096,1595.2302850237388
Vila Velha,126,5,2,3,11,1,1,1979,5050,331,137,7497,3572.4249034018376
Uberlândia,432,5,3,0,3,1,1,2620,6908,277,188,9993,5465.075728002064
Betim,228,4,3,4,7,1,0,218,1450,613,23,2304,1125.6845522514986
Maringá,93,2,1,0,1,1,0,3109,5643,730,117,9599,4185.760865080588
Rio de Janeiro,416,3,1,2,13,0,1,966,4839,426,128,6359,3803.3789081819427
Recife,423,2,3,0,14,1,0,2208,4099,743,115,7165,2995.7841889970364
Natal,373,3,4,3,10,1,1,133,944,1964,127,3168,732.193513399099
Vila Velha,142,4,2,3,8,1,0,484,8093,712,130,9419,6102.4955501071045
Vila Velha,450,2,4,1,17,0,1,940,9385,801,159,11285,7497.261977449911
Maceió,216,2,4,4,13,0,1,1668,2431,1099,93,5291,1725.3135007861017
Santo André,261,3,4,1,13,1,0,4597,1094,296,95,6082,842.1766740088991
Maringá,490,2,2,3,8,0,0,1919,2074,1480,152,5625,1625.469478845172
Teresina,190,2,3,2,3,1,0,4174,5859,1588,11,11632,4580.53520398342
Recife,153,4,2,0,12,1,0,2064,5957,205,137,8363,4481.251662875601
Salvador,97,1,3,4,18,1,0,3662,9803,669,123,14257,6965.799228396667
Joinville,70,5,2,2,15,0,1,760,2927,452,121,4260,2085.2036374954446
Contagem,310,4,3,0,3,1,1,4581,8095,1709,107,14492,6350.375110300008
São José dos Campos,92,3,2,0,4,1,0,1537,7204,315,73,9129,5346.883189928156
Jaboatão dos Guararapes,128,4,1,1,9,1,1,2372,6084,469,53,8978,4647.635129866808
Vitória,295,2,2,1,0,1,1,3012,892,1617,152,5673,709.3445092118556
Sorocaba,152,2,3,4,4,1,0,1864,3844,211,20,5939,2855.798534962066
Aracaju,21,2,1,4,3,0,0,539,3635,1880,90,6144,2696.545082344694
São José dos Campos,252,1,2,2,19,1,0,3931,4832,475,158,9396,3579.4551139145506
Joinville,361,1,1,2,14,1,1,2889,2684,957,122,6652,1909.5287854635308
João Pessoa,117,3,3,2,6,0,0,693,2551,1439,38,4721,2032.2750936543255
Mogi das Cruzes,271,3,3,1,12,1,0,3591,3638,1771,30,9030,2824.4636569258096
Porto Velho,211,4,2,4,11,0,0,2328,8653,715,181,11877,6736.347065898587
Manaus,494,2,2,2,1,1,1,1256,1591,815,127,3789,1176.3626058495183
Osasco,290,5,2,0,6,1,1,3766,8532,651,100,13049,6091.191659031653
Teresina,399,4,3,1,17,1,1,1776,2616,1571,137,6100,1869.3853235812423
Florianópolis,425,4,1,0,6,1,1,882,8306,1925,95,11208,5884.390157600029
Rio de Janeiro,322,5,1,4,7,0,0,2046,6153,278,154,8631,4737.123130298932
Macapá,355,1,4,4,5,0,0,1883,7165,1159,116,10323,5324.9915530108
Betim,20,3,4,3,0,0,1,2366,8694,1344,135,12539,6912.088966598348
Macapá,76,4,3,4,1,1,1,3949,9798,1269,51,15067,7341.135085099766
Rio de Janeiro,52,3,1,2,5,1,0,4732,3743,540,37,9052,2638.8084382106003
Campinas,233,4,3,3,7,0,0,4362,4759,1018,38,10177,3548.240528947028
Jundiaí,330,4,2,0,14,0,0,2288,6159,1954,129,10530,4562.339321192247
Natal,454,3,3,0,18,1,0,2742,6778,693,111,10324,4949.511709924607
Salvador,76,5,4,3,13,0,0,629,7228,465,67,8389,5082.894948307838
Recife,404,5,3,1,6,0,0,927,6448,13,128,7516,4546.9291273827
Montes Claros,245,2,3,1,7,0,0,877,7307,864,86,9134,5581.922997386477
Manaus,157,3,2,1,13,0,1,4277,9553,358,117,14305,7058.34173230263
Caxias do Sul,499,5,1,4,15,1,0,4893,2540,1095,68,8596,1879.6840827844173
Cuiabá,233,4,2,2,12,0,1,2684,9099,82,88,11953,6629.438583314277
Serra,129,1,4,0,14,1,1,242,3775,1786,35,5838,3017.8031465524914
Brasília,268,5,4,3,9,0,1,180,3939,810,79,5008,3064.5668819603734
Campo Grande,147,2,2,3,18,0,0,4362,2285,1577,181,8405,1749.3627416252907
Londrina,262,2,1,0,14,1,1,1216,1325,716,126,3383,973.2636122422721
Sorocaba,394,3,1,0,11,1,0,4948,2859,862,186,8855,2161.548120173329
Aracaju,462,2,4,4,10,1,0,3513,6461,1846,133,11953,4814.521537891095
Goiânia,294,4,2,1,19,0,1,464,6700,442,135,7741,4835.840795948854
Feira de Santana,380,1,1,2,1,0,1,2365,9344,92,59,11860,7357.8394348614665
Vila Velha,477,1,3,0,7,1,1,2815,2578,488,40,5921,1861.0567655178706
Cuiabá,332,5,3,1,4,0,1,4524,9622,165,60,14371,7665.228249400151
Contagem,242,2,4,3,13,0,1,3579,981,1068,131,5759,715.6800009238159
Duque de Caxias,79,4,2,3,6,0,0,1881,1444,634,30,3989,1042.665488104784
Teresina,188,4,1,1,10,1,0,1451,6337,309,117,8214,4708.885775000316
Recife,495,4,2,0,13,1,0,4418,4629,1742,94,10883,3593.982002857104
Aparecida de Goiânia,328,4,3,4,17,0,0,4338,6534,1931,80,12883,4704.074999792342
Aracaju,407,2,3,4,11,0,1,1617,7929,1975,89,11610,6287.790332358967
Curitiba,261,3,3,3,14,1,1,978,1113,1267,125,3483,871.7309709365004
Manaus,353,5,1,3,19,0,0,3078,7262,1606,169,12115,5437.640824481224
Vitória,248,3,2,1,7,1,1,1713,9174,751,155,11793,6927.8406366820345
Contagem,331,3,4,2,5,1,0,3588,4004,78,119,7789,3097.6997921427264
Campinas,468,3,2,4,16,1,0,4269,2511,1946,98,8824,1896.4132269380268
Goiânia,201,4,4,2,13,1,1,1617,6477,666,116,8876,4864.399647248722
Betim,307,1,4,3,3,0,1,1213,1849,697,187,3946,1354.5221330448455
Contagem,240,5,4,0,14,0,1,1042,8314,1942,145,11443,6120.685055903995
Jundiaí,152,4,1,0,0,0,1,393,9605,1794,102,11894,7228.180154575521
Sorocaba,68,1,2,0,1,0,1,1392,5022,859,93,7366,3645.618247547459
Florianópolis,189,3,1,3,2,0,0,4013,7656,1937,182,13788,6021.685861266351
Osasco,48,2,2,2,16,0,0,3203,4074,271,23,7571,2970.983947990477
Brasília,263,3,4,4,8,1,0,4956,7253,1489,123,13821,5493.519700682571
Montes Claros,197,2,2,4,19,1,1,2234,4435,929,42,7640,3166.0105503721065
Duque de Caxias,48,4,4,0,17,1,0,2232,9626,844,31,12733,6805.680897182712
Piracicaba,213,5,3,4,14,0,1,4561,826,653,147,6187,590.6330622405106
Brasília,74,3,2,0,4,1,0,1751,7526,1044,126,10447,5859.852613751521
Jundiaí,129,1,1,1,18,1,0,4252,5000,725,175,10152,3922.0410369113965
Feira de Santana,308,3,2,4,18,1,1,2396,5659,1103,139,9297,4210.066627699748
Natal,55,5,2,0,11,1,1,4063,8186,1175,185,13609,6465.770372101864
Fortaleza,163,2,1,3,0,1,0,4029,2441,1924,124,8518,1787.8105914442706
São Gonçalo,175,1,1,3,19,0,1,2672,4013,490,121,7296,3066.5455207150835
Manaus,419,5,1,0,0,1,1,538,6751,567,75,7931,5170.831426633522
Duque de Caxias,352,3,2,3,6,0,1,4543,3674,1376,108,9701,2596.7964779012304
Caxias do Sul,78,3,2,2,10,0,1,3242,9686,1269,142,14339,7139.131104969178
Campinas,38,3,1,2,13,1,1,4377,2347,677,34,7435,1644.514373998641
Niterói,264,2,2,0,8,1,1,2136,1772,1455,127,5490,1254.2972896149709
Jaboatão dos Guararapes,332,1,3,1,3,1,1,3989,4478,1063,70,9600,3344.593448469743
Feira de Santana,252,1,4,1,17,0,0,3617,9557,760,93,14027,7560.096072263017
Rio de Janeiro,362,2,1,4,1,1,1,1448,4673,1612,176,7909,3423.56622390062
Rio de Janeiro,398,4,2,1,10,1,1,4766,9611,647,12,15036,7622.137853125911
Aparecida de Goiânia,383,4,3,4,17,1,1,4929,5867,763,13,11572,4421.0977147462545
Recife,289,5,2,0,19,1,0,3868,8665,1795,14,14342,6836.468359692167
São Paulo,314,5,1,2,19,0,1,305,4909,1700,161,7075,3492.262045751146
Porto Alegre,182,2,1,0,15,0,1,3600,8303,1470,159,13532,6414.06350377699
São José dos Campos,225,4,2,4,4,1,0,250,924,1909,100,3183,698.2128571815257
Rio de Janeiro,196,5,2,1,18,1,0,763,7097,1227,134,9221,5641.193481982904
Feira de Santana,165,5,2,1,15,1,0,4021,4973,257,130,9381,3632.8581966466063
Natal,287,2,3,1,4,0,1,4885,7956,1062,178,14081,5753.914139154274
São Paulo,409,2,4,3,6,0,1,3875,8491,311,132,12809,6477.2608147346955
Joinville,288,4,3,2,19,1,0,502,9804,39,16,10361,7029.988162189486
Campo Grande,305,2,3,3,15,1,1,1691,6439,1054,167,9351,4949.281741589494
Uberlândia,325,5,3,1,13,0,1,3118,4720,982,101,8921,3447.41980052303
Guarulhos,76,4,3,4,13,0,1,1779,1714,1297,185,4975,1287.9864051337834
Ananindeua,436,3,1,0,16,0,1,3842,1538,747,50,6177,1167.6871706210877
Salvador,389,1,1,4,15,1,1,1766,619,1259,111,3755,448.2008533050512
São José dos Campos,416,3,3,4,15,0,1,4954,3191,149,26,8320,2291.00942445132
Niterói,81,5,1,2,9,0,0,3300,7062,1394,164,11920,4962.926105589814
Florianópolis,394,1,1,4,12,0,1,1992,9740,1265,31,13028,7725.621449799702
Campo Grande,340,4,4,3,12,1,1,2048,5399,807,175,8429,3866.8998611578972
Belém,299,4,1,1,9,1,1,4597,8306,1744,82,14729,5820.732926988029
Sorocaba,221,3,1,1,8,0,0,198,3320,1516,111,5145,2349.142592804767
Betim,75,4,3,3,6,1,1,3645,4152,937,160,8894,3024.6829675466424
São Paulo,110,5,3,1,10,0,1,3643,9054,908,39,13644,7187.541562804618
Manaus,387,5,1,4,4,0,0,1766,9199,360,155,11480,6799.588863474012
Niterói,412,4,2,1,8,1,0,939,1117,618,125,2799,805.2496434434959
Ananindeua,404,4,2,3,15,1,0,1883,4929,229,179,7220,3790.745837571491
Jundiaí,468,2,3,4,1,1,0,1664,9314,1715,110,12803,6608.981738132719
Jundiaí,187,2,3,2,2,1,1,263,9047,127,168,9605,7033.331224304594
Natal,403,5,3,2,6,1,1,2467,8391,1731,72,12661,6683.431660905058
Betim,152,3,4,2,2,1,1,4731,4391,1256,197,10575,3456.064366175652
Barueri,333,2,3,4,7,1,1,256,3076,158,62,3552,2273.631225862035
Campo Grande,497,5,2,2,2,1,1,4605,6029,1610,73,12317,4224.886590077993
Salvador,357,4,1,0,2,1,0,1867,1035,1105,144,4151,799.5697303653325
Piracicaba,187,1,3,2,19,0,0,1121,3174,1684,41,6020,2432.547385480678
Maceió,169,4,4,4,10,1,1,2320,6989,1884,13,11206,5550.49435211368
Natal,469,3,2,0,6,1,0,672,592,24,18,1306,442.1442589132965
São José dos Campos,497,4,1,2,9,0,0,709,2302,1989,110,5110,1722.7569252426654
Cuiabá,204,2,2,4,9,1,1,4050,3920,901,51,8922,2907.7414323533308
Guarulhos,386,1,2,0,16,0,1,609,7876,263,39,8787,5851.6171557498465
Porto Velho,173,2,2,1,9,1,0,1622,677,1844,63,4206,519.0157244089323
Salvador,34,2,4,0,14,0,1,4597,2369,446,51,7463,1803.3998398626022
Belo Horizonte,183,1,3,4,0,1,1,4456,6085,432,170,11143,4667.891712205296
Cuiabá,297,2,3,4,5,0,1,828,3079,1176,19,5102,2272.675181398847
Jaboatão dos Guararapes,125,4,1,1,4,1,0,2813,2259,1916,11,6999,1765.7686298721076
Aparecida de Goiânia,446,3,3,3,6,1,1,1575,5997,1706,111,9389,4468.779272128795
Vila Velha,324,4,1,0,12,0,0,1324,9234,1214,13,11785,6818.02118292252
Aparecida de Goiânia,483,2,3,1,17,1,1,984,5529,946,40,7499,4275.329161525613
São José dos Campos,412,4,3,0,13,1,1,1120,5213,1683,176,8192,3948.070846498823
Recife,483,4,1,4,6,0,0,1755,6731,1061,140,9687,4977.699436920173
Florianópolis,238,4,2,1,14,1,0,4189,2624,1846,63,8722,1907.1031974456216
Joinville,411,3,1,4,10,0,0,2104,9833,1652,19,13608,7864.793030110182
Vitória,454,2,1,2,17,0,1,1916,2108,1042,140,5206,1538.2579075081885
Boa Vista,138,1,4,2,17,0,1,2166,6763,70,45,9044,5081.911112111679
Montes Claros,177,5,4,0,17,0,1,4171,4136,1628,143,10078,3268.248905243037
Ananindeua,379,3,2,0,4,0,0,4954,7273,1404,193,13824,5342.324103529708
Ananindeua,403,2,4,1,0,1,0,1418,8220,216,110,9964,6260.953587969262
Maceió,262,3,1,1,0,1,1,3205,1560,806,118,5689,1096.062269665448
Fortaleza,436,2,4,0,9,0,1,3239,5437,1033,98,9807,4103.17337211981
Salvador,324,5,1,0,16,0,0,438,1040,1142,45,2665,787.0122325304757
Maceió,184,3,1,2,11,1,0,2814,7085,298,25,10222,5193.387289393243
Serra,362,2,2,4,14,1,1,1058,6179,1767,46,9050,4719.069088880095
Natal,54,4,3,3,11,1,1,289,982,847,41,2159,748.0410601033351
Salvador,72,4,1,4,7,1,1,4894,1127,1445,96,7562,828.9089523193081
Brasília,178,3,4,1,12,1,0,1722,7703,564,58,10047,5542.506690427027
Vila Velha,323,3,1,3,13,0,1,1583,9687,1265,63,12598,7316.334677330864
São Paulo,218,3,4,2,8,1,0,4452,8159,665,144,13420,6220.97999442048
Macapá,244,4,4,0,5,0,1,175,5966,177,87,6405,4231.86692433427
Goiânia,478,5,4,1,19,0,0,2866,1737,1900,178,6681,1272.318370774769
Natal,64,4,4,1,13,0,0,4610,7095,1570,19,13294,5425.231947839582
São Paulo,31,1,3,3,11,1,1,1823,8369,1307,189,11688,6254.096586393706
Boa Vista,479,1,2,2,16,1,0,2536,1441,919,138,5034,1058.8002836207108
João Pessoa,31,5,4,2,11,1,1,1190,6177,1154,151,8672,4729.819570477821
Ananindeua,248,1,1,1,19,1,1,2358,4050,1738,164,8310,3107.649030350383
Maceió,186,2,2,0,0,0,0,2262,1846,467,73,4648,1424.3745169131
Jundiaí,363,2,2,1,12,0,1,2630,920,1179,134,4863,660.0145772471266
Aracaju,361,3,1,4,14,1,1,4612,1053,1776,183,7624,754.8315957807021
Jaboatão dos Guararapes,468,1,2,2,14,1,0,2057,1291,1752,110,5210,1013.2210314190927
Cuiabá,455,4,4,1,15,1,1,1526,2097,153,142,3918,1653.1508025820797
Jundiaí,375,3,4,1,13,1,0,1379,7455,815,16,9665,5851.1212068406685
Vila Velha,75,4,4,1,3,0,0,2024,713,1953,131,4821,521.6034712419424
Feira de Santana,245,3,1,3,11,1,1,4066,8372,1072,63,13573,6286.1478920169575
Recife,322,3,3,3,8,1,0,767,4938,1761,113,7579,3621.3045366641277
Manaus,424,3,1,2,11,1,0,2687,3525,1399,18,7629,2545.5620746622017
Aparecida de Goiânia,109,5,3,0,1,0,0,1808,9015,769,52,11644,6503.5299931229665
Belém,312,3,1,4,7,0,1,815,6093,557,49,7514,4643.550393568543
Joinville,482,4,2,3,12,0,1,3431,3529,626,113,7699,2637.821863920433
Natal,396,1,2,1,18,0,1,1306,9524,1943,54,12827,6847.373877562824
Piracicaba,274,3,3,0,19,1,1,3974,662,70,151,4857,505.2804875727701
São Luís,410,4,1,2,18,0,0,2330,9265,1383,133,13111,6770.747080877709
Osasco,475,3,1,4,2,1,1,1595,7904,1894,146,11539,6064.82201765719
Belo Horizonte,363,2,4,0,13,1,0,839,5114,7,189,6149,3809.030565614045
Rio de Janeiro,149,3,3,2,4,1,0,2096,4474,370,43,6983,3300.963897586909
Jundiaí,79,2,1,3,7,1,1,924,1659,738,11,3332,1204.0337356613595
Jundiaí,205,5,3,2,2,0,1,1053,3728,1031,180,5992,2691.8951542590867
Belém,313,5,4,1,5,1,0,595,2676,1284,164,4719,2046.2937188453584
Montes Claros,71,3,2,1,13,0,0,3504,5805,439,131,9879,4559.091650904254
Boa Vista,451,1,1,0,11,0,1,4402,7766,1082,66,13316,5752.335660095586
Natal,128,2,4,0,12,1,0,3147,5031,1836,21,10035,3976.1399251958383
Cuiabá,134,5,2,0,18,0,1,1551,6992,1389,192,10124,5483.060811999166
Sorocaba,490,1,1,4,2,1,1,4657,954,1762,135,7508,722.295731524253
Sorocaba,137,1,2,0,12,1,1,4367,1350,1508,25,7250,1060.5612372372975
Londrina,336,3,2,4,1,0,0,4714,6943,218,188,12063,5030.924141743649
Maringá,32,4,1,1,5,1,0,1097,6124,1325,35,8581,4313.851588958684
Piracicaba,496,4,3,2,1,1,1,2002,2231,1240,146,5619,1697.2489376542528
Salvador,465,1,2,4,15,1,0,2366,4173,229,81,6849,2985.270538444972
Goiânia,160,3,3,4,12,1,1,1167,6702,830,30,8729,5314.647352248499
Piracicaba,374,2,3,4,18,1,0,2267,557,1363,150,4337,436.4270361789041
Belo Horizonte,28,1,2,2,10,1,0,333,2037,654,44,3068,1561.375402788969
Porto Alegre,196,2,2,4,19,1,1,1797,1590,1261,179,4827,1155.1004770761997
Niterói,407,5,2,3,5,0,1,1194,706,1692,16,3608,535.9347547380147
Florianópolis,420,2,1,3,15,1,0,4206,3745,832,66,8849,2751.891124221885
Niterói,201,4,3,2,1,0,1,1499,717,620,104,2940,561.5760955907466
Porto Velho,252,5,3,4,11,1,1,2078,4497,930,25,7530,3414.2354111003683
Ribeirão Preto,140,3,4,3,16,1,1,3987,2391,507,185,7070,1732.7123413648458
São Luís,388,2,1,3,1,0,1,197,4851,1785,141,6974,3400.778382940528
Maceió,34,2,3,0,4,1,0,4885,5627,810,165,11487,4025.3982784175287
Maceió,317,4,4,1,10,0,1,198,1606,307,177,2288,1182.4219240911734
São Gonçalo,299,5,2,1,3,0,1,2335,6208,1616,20,10179,4694.698733527862
Ananindeua,476,1,2,4,10,1,0,478,3579,506,36,4599,2701.265204943832
Serra,484,5,3,4,3,0,1,1771,1923,1670,168,5532,1513.1298665643433
Caxias do Sul,425,1,2,4,18,0,0,2032,7185,1255,48,10520,5210.656434447371
Natal,26,4,3,0,10,0,0,1978,3707,256,25,5966,2779.808259024132
João Pessoa,173,4,2,4,5,0,0,3496,8205,1106,79,12886,5897.079336445386
Campinas,355,4,2,3,10,0,1,1422,517,465,117,2521,389.4589990730165
Barueri,95,1,2,3,0,0,1,618,3051,1537,93,5299,2414.002889131983
Florianópolis,73,2,2,0,6,0,0,1797,2942,135,92,4966,2065.0391907944477
Barueri,82,4,3,0,18,0,1,2720,6661,1510,77,10968,4972.279508660172
Natal,155,1,3,0,19,0,0,2575,8425,686,189,11875,6071.820283874666
Sorocaba,335,5,3,1,2,0,0,4757,4206,495,36,9494,3049.1913766103676
Betim,302,4,2,1,8,0,0,528,4574,59,174,5335,3381.318466623577
Jaboatão dos Guararapes,417,5,1,0,18,0,1,2631,6960,920,104,10615,5086.935824904448
Fortaleza,253,2,4,2,8,0,0,834,4365,983,85,6267,3345.0651851580465
Jaboatão dos Guararapes,93,5,4,4,3,0,1,862,3244,1400,171,5677,2467.9865663305627
Ananindeua,412,3,3,4,15,0,1,322,5693,1744,178,7937,4319.7928834435625
Jaboatão dos Guararapes,414,4,4,3,13,0,1,3864,8383,1519,48,13814,6542.619327008733
Brasília,149,4,2,2,13,0,0,879,9842,1406,88,12215,7397.564846087559
Teresina,268,4,4,3,7,0,0,2014,1152,730,37,3933,817.4712181380276
Teresina,267,1,3,1,0,0,0,2609,9918,775,78,13380,7599.508300630083
Contagem,128,1,2,2,0,0,0,3426,660,782,68,4936,508.1492741521308
Campo Grande,293,4,2,4,11,0,0,1991,5854,302,188,8335,4273.1039994413795
Brasília,346,2,4,4,1,1,0,2134,3385,86,39,5644,2404.143698438519
Ribeirão Preto,263,2,4,2,12,0,0,4308,826,1620,182,6936,628.1603342090556
Cuiabá,152,2,3,3,11,1,1,2851,9811,468,199,13329,7751.581948873274
Ribeirão Preto,132,1,4,0,17,0,1,2035,6169,1603,109,9916,4382.301417779485
Campo Grande,255,5,3,2,16,0,1,466,7358,522,125,8471,5825.106887020219
Londrina,187,4,3,4,9,1,1,1329,7844,1384,114,10671,6107.7064359037295
